Data,Method,Models,Initial Disagreement,Final Disagreement,Initial Brier,Final Brier,Theorem 3.1,T1,T2,Brier Scores
Twin,Different_Models,"[t_learner,x_learner]",0.129,0.0,"[0.011, 0.011]","[0.011, 0.011]",1. 3 <= 22000.0 |2. 0.011 <= 0.011 and 0.011 <= 0.011 |3. 0.0 < 0.01,1,2,"[[0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011]]"
Twin,Different_Models,"[t_learner,x_learner]",0.155,0.006,"[0.014, 0.014]","[0.013, 0.013]",1. 3 <= 26000.0 |2. 0.013 <= 0.014 and 0.013 <= 0.014 |3. 0.006 < 0.01,1,2,"[[0.014, 0.014], [0.014, 0.013], [0.013, 0.013], [0.013, 0.013]]"
Twin,Different_Models,"[t_learner,x_learner]",0.135,0.006,"[0.013, 0.012]","[0.012, 0.012]",1. 3 <= 24000.0 |2. 0.012 <= 0.013 and 0.012 <= 0.012 |3. 0.006 < 0.01,1,2,"[[0.013, 0.012], [0.013, 0.011], [0.012, 0.011], [0.012, 0.012]]"
Twin,Different_Models,"[t_learner,x_learner]",0.148,0.006,"[0.015, 0.014]","[0.014, 0.014]",1. 3 <= 28000.0 |2. 0.014 <= 0.015 and 0.014 <= 0.014 |3. 0.006 < 0.01,1,2,"[[0.015, 0.014], [0.014, 0.014], [0.014, 0.014], [0.014, 0.014]]"
Twin,Different_Models,"[t_learner,x_learner]",0.11,0.148,"[0.011, 0.01]","[0.011, 0.01]",1. 51 <= 21000.0 |2. 0.011 <= 0.011 and 0.01 <= 0.01 |3. 0.148 < 0.01,0,51,"[[0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01]]"
Twin,Different_Models,"[t_learner,x_learner]",0.148,0.0,"[0.015, 0.013]","[0.014, 0.013]",1. 2 <= 27000.0 |2. 0.014 <= 0.015 and 0.013 <= 0.013 |3. 0.0 < 0.01,1,1,"[[0.015, 0.013], [0.014, 0.013], [0.014, 0.013]]"
Twin,Different_Models,"[t_learner,x_learner]",0.206,0.006,"[0.017, 0.016]","[0.015, 0.015]",1. 3 <= 30000.0 |2. 0.015 <= 0.017 and 0.015 <= 0.016 |3. 0.006 < 0.01,2,1,"[[0.017, 0.016], [0.015, 0.016], [0.015, 0.015], [0.015, 0.015]]"
Twin,Different_Models,"[t_learner,x_learner]",0.155,0.077,"[0.018, 0.018]","[0.017, 0.018]",1. 51 <= 35000.0 |2. 0.017 <= 0.018 and 0.018 <= 0.018 |3. 0.077 < 0.01,51,0,"[[0.018, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018]]"
Twin,Different_Models,"[t_learner,x_learner]",0.181,0.0,"[0.015, 0.014]","[0.013, 0.014]",1. 3 <= 27000.0 |2. 0.013 <= 0.015 and 0.014 <= 0.014 |3. 0.0 < 0.01,2,1,"[[0.015, 0.014], [0.013, 0.014], [0.013, 0.014], [0.013, 0.014]]"
Twin,Different_Models,"[t_learner,x_learner]",0.187,0.0,"[0.02, 0.018]","[0.016, 0.016]",1. 2 <= 32000.0 |2. 0.016 <= 0.02 and 0.016 <= 0.018 |3. 0.0 < 0.01,1,1,"[[0.02, 0.018], [0.016, 0.018], [0.016, 0.016]]"
Twin,Different_Models,"[t_learner,x_learner]",0.142,0.019,"[0.012, 0.012]","[0.011, 0.011]",1. 2 <= 22000.0 |2. 0.011 <= 0.012 and 0.011 <= 0.012 |3. 0.019 < 0.01,1,1,"[[0.012, 0.012], [0.011, 0.012], [0.011, 0.011]]"
Twin,Different_Models,"[t_learner,x_learner]",0.135,0.026,"[0.011, 0.011]","[0.011, 0.011]",1. 51 <= 22000.0 |2. 0.011 <= 0.011 and 0.011 <= 0.011 |3. 0.026 < 0.01,51,0,"[[0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011]]"
Twin,Different_Models,"[t_learner,x_learner]",0.161,0.0,"[0.013, 0.012]","[0.012, 0.012]",1. 3 <= 24000.0 |2. 0.012 <= 0.013 and 0.012 <= 0.012 |3. 0.0 < 0.01,2,1,"[[0.013, 0.012], [0.012, 0.012], [0.012, 0.012], [0.012, 0.012]]"
Twin,Different_Models,"[t_learner,x_learner]",0.148,0.0,"[0.021, 0.019]","[0.02, 0.02]",1. 4 <= 40000.0 |2. 0.02 <= 0.021 and 0.02 <= 0.019 |3. 0.0 < 0.01,2,2,"[[0.021, 0.019], [0.019, 0.019], [0.019, 0.019], [0.019, 0.02], [0.02, 0.02]]"
Twin,Different_Models,"[t_learner,x_learner]",0.148,0.006,"[0.02, 0.018]","[0.018, 0.018]",1. 2 <= 36000.0 |2. 0.018 <= 0.02 and 0.018 <= 0.018 |3. 0.006 < 0.01,1,1,"[[0.02, 0.018], [0.018, 0.018], [0.018, 0.018]]"
Twin,Different_Models,"[t_learner,x_learner]",0.194,0.013,"[0.019, 0.018]","[0.018, 0.018]",1. 3 <= 36000.0 |2. 0.018 <= 0.019 and 0.018 <= 0.018 |3. 0.013 < 0.01,1,2,"[[0.019, 0.018], [0.018, 0.018], [0.018, 0.017], [0.018, 0.018]]"
Twin,Different_Models,"[t_learner,x_learner]",0.148,0.006,"[0.019, 0.018]","[0.017, 0.017]",1. 3 <= 34000.0 |2. 0.017 <= 0.019 and 0.017 <= 0.018 |3. 0.006 < 0.01,1,2,"[[0.019, 0.018], [0.017, 0.018], [0.017, 0.017], [0.017, 0.017]]"
Twin,Different_Models,"[t_learner,x_learner]",0.135,0.0,"[0.014, 0.014]","[0.014, 0.014]",1. 3 <= 28000.0 |2. 0.014 <= 0.014 and 0.014 <= 0.014 |3. 0.0 < 0.01,2,1,"[[0.014, 0.014], [0.014, 0.014], [0.014, 0.014], [0.014, 0.014]]"
Twin,Different_Models,"[t_learner,x_learner]",0.187,0.0,"[0.018, 0.017]","[0.017, 0.016]",1. 3 <= 33000.0 |2. 0.017 <= 0.018 and 0.016 <= 0.017 |3. 0.0 < 0.01,1,2,"[[0.018, 0.017], [0.017, 0.017], [0.017, 0.016], [0.017, 0.016]]"
Twin,Different_Models,"[t_learner,x_learner]",0.155,0.006,"[0.013, 0.013]","[0.012, 0.012]",1. 2 <= 24000.0 |2. 0.012 <= 0.013 and 0.012 <= 0.013 |3. 0.006 < 0.01,1,1,"[[0.013, 0.013], [0.013, 0.012], [0.012, 0.012]]"
Twin,Different_Models,"[t_learner,r_learner]",0.329,0.0,"[0.019, 0.019]","[0.018, 0.019]",1. 4 <= 37000.0 |2. 0.018 <= 0.019 and 0.019 <= 0.019 |3. 0.0 < 0.01,1,3,"[[0.019, 0.019], [0.019, 0.019], [0.018, 0.019], [0.018, 0.018], [0.018, 0.019]]"
Twin,Different_Models,"[t_learner,r_learner]",0.329,0.0,"[0.018, 0.019]","[0.018, 0.018]",1. 4 <= 36000.0 |2. 0.018 <= 0.018 and 0.018 <= 0.019 |3. 0.0 < 0.01,2,2,"[[0.018, 0.019], [0.018, 0.018], [0.018, 0.018], [0.018, 0.018], [0.018, 0.018]]"
Twin,Different_Models,"[t_learner,r_learner]",0.368,0.006,"[0.016, 0.017]","[0.015, 0.015]",1. 3 <= 30000.0 |2. 0.015 <= 0.016 and 0.015 <= 0.017 |3. 0.006 < 0.01,1,2,"[[0.016, 0.017], [0.016, 0.017], [0.016, 0.015], [0.015, 0.015]]"
Twin,Different_Models,"[t_learner,r_learner]",0.31,0.0,"[0.012, 0.015]","[0.012, 0.012]",1. 4 <= 24000.0 |2. 0.012 <= 0.012 and 0.012 <= 0.015 |3. 0.0 < 0.01,2,2,"[[0.012, 0.015], [0.012, 0.012], [0.012, 0.012], [0.012, 0.012], [0.012, 0.012]]"
Twin,Different_Models,"[t_learner,r_learner]",0.335,0.0,"[0.013, 0.016]","[0.013, 0.013]",1. 4 <= 26000.0 |2. 0.013 <= 0.013 and 0.013 <= 0.016 |3. 0.0 < 0.01,2,2,"[[0.013, 0.016], [0.012, 0.016], [0.012, 0.013], [0.012, 0.013], [0.013, 0.013]]"
Twin,Different_Models,"[t_learner,r_learner]",0.297,0.0,"[0.015, 0.017]","[0.014, 0.014]",1. 3 <= 28000.0 |2. 0.014 <= 0.015 and 0.014 <= 0.017 |3. 0.0 < 0.01,2,1,"[[0.015, 0.017], [0.015, 0.014], [0.014, 0.014], [0.014, 0.014]]"
Twin,Different_Models,"[t_learner,r_learner]",0.284,0.006,"[0.016, 0.016]","[0.015, 0.014]",1. 3 <= 29000.0 |2. 0.015 <= 0.016 and 0.014 <= 0.016 |3. 0.006 < 0.01,2,1,"[[0.016, 0.016], [0.016, 0.014], [0.014, 0.014], [0.015, 0.014]]"
Twin,Different_Models,"[t_learner,r_learner]",0.335,0.006,"[0.016, 0.016]","[0.014, 0.014]",1. 3 <= 28000.0 |2. 0.014 <= 0.016 and 0.014 <= 0.016 |3. 0.006 < 0.01,2,1,"[[0.016, 0.016], [0.014, 0.016], [0.014, 0.014], [0.014, 0.014]]"
Twin,Different_Models,"[t_learner,r_learner]",0.297,0.0,"[0.014, 0.017]","[0.012, 0.013]",1. 4 <= 25000.0 |2. 0.012 <= 0.014 and 0.013 <= 0.017 |3. 0.0 < 0.01,2,2,"[[0.014, 0.017], [0.014, 0.013], [0.012, 0.013], [0.012, 0.013], [0.012, 0.013]]"
Twin,Different_Models,"[t_learner,r_learner]",0.271,0.0,"[0.015, 0.018]","[0.014, 0.015]",1. 4 <= 29000.0 |2. 0.014 <= 0.015 and 0.015 <= 0.018 |3. 0.0 < 0.01,2,2,"[[0.015, 0.018], [0.015, 0.016], [0.015, 0.016], [0.015, 0.015], [0.014, 0.015]]"
Twin,Different_Models,"[t_learner,r_learner]",0.284,0.006,"[0.018, 0.018]","[0.016, 0.017]",1. 3 <= 33000.0 |2. 0.016 <= 0.018 and 0.017 <= 0.018 |3. 0.006 < 0.01,2,1,"[[0.018, 0.018], [0.017, 0.018], [0.017, 0.017], [0.016, 0.017]]"
Twin,Different_Models,"[t_learner,r_learner]",0.258,0.006,"[0.017, 0.017]","[0.017, 0.017]",1. 5 <= 34000.0 |2. 0.017 <= 0.017 and 0.017 <= 0.017 |3. 0.006 < 0.01,2,3,"[[0.017, 0.017], [0.017, 0.017], [0.017, 0.017], [0.017, 0.017], [0.017, 0.017], [0.017, 0.017]]"
Twin,Different_Models,"[t_learner,r_learner]",0.303,0.0,"[0.016, 0.018]","[0.013, 0.013]",1. 4 <= 26000.0 |2. 0.013 <= 0.016 and 0.013 <= 0.018 |3. 0.0 < 0.01,2,2,"[[0.016, 0.018], [0.016, 0.013], [0.013, 0.013], [0.013, 0.013], [0.013, 0.013]]"
Twin,Different_Models,"[t_learner,r_learner]",0.329,0.006,"[0.016, 0.018]","[0.015, 0.016]",1. 3 <= 31000.0 |2. 0.015 <= 0.016 and 0.016 <= 0.018 |3. 0.006 < 0.01,1,2,"[[0.016, 0.018], [0.015, 0.018], [0.015, 0.016], [0.015, 0.016]]"
Twin,Different_Models,"[t_learner,r_learner]",0.4,0.006,"[0.016, 0.017]","[0.015, 0.016]",1. 4 <= 31000.0 |2. 0.015 <= 0.016 and 0.016 <= 0.017 |3. 0.006 < 0.01,1,3,"[[0.016, 0.017], [0.016, 0.017], [0.016, 0.016], [0.016, 0.016], [0.015, 0.016]]"
Twin,Different_Models,"[t_learner,r_learner]",0.252,0.0,"[0.01, 0.012]","[0.01, 0.01]",1. 5 <= 20000.0 |2. 0.01 <= 0.01 and 0.01 <= 0.012 |3. 0.0 < 0.01,2,3,"[[0.01, 0.012], [0.01, 0.01], [0.01, 0.01], [0.01, 0.01], [0.01, 0.01], [0.01, 0.01]]"
Twin,Different_Models,"[t_learner,r_learner]",0.252,0.0,"[0.013, 0.013]","[0.012, 0.012]",1. 3 <= 24000.0 |2. 0.012 <= 0.013 and 0.012 <= 0.013 |3. 0.0 < 0.01,1,2,"[[0.013, 0.013], [0.013, 0.012], [0.012, 0.012], [0.012, 0.012]]"
Twin,Different_Models,"[t_learner,r_learner]",0.297,0.006,"[0.016, 0.015]","[0.018, 0.017]",1. 6 <= 35000.0 |2. 0.018 <= 0.016 and 0.017 <= 0.015 |3. 0.006 < 0.01,4,2,"[[0.016, 0.015], [0.015, 0.015], [0.015, 0.015], [0.015, 0.014], [0.015, 0.014], [0.015, 0.017], [0.018, 0.017]]"
Twin,Different_Models,"[t_learner,r_learner]",0.284,0.013,"[0.016, 0.015]","[0.015, 0.015]",1. 3 <= 30000.0 |2. 0.015 <= 0.016 and 0.015 <= 0.015 |3. 0.013 < 0.01,2,1,"[[0.016, 0.015], [0.016, 0.015], [0.015, 0.015], [0.015, 0.015]]"
Twin,Different_Models,"[t_learner,r_learner]",0.226,0.0,"[0.015, 0.018]","[0.015, 0.015]",1. 4 <= 30000.0 |2. 0.015 <= 0.015 and 0.015 <= 0.018 |3. 0.0 < 0.01,2,2,"[[0.015, 0.018], [0.015, 0.015], [0.015, 0.015], [0.015, 0.015], [0.015, 0.015]]"
Twin,Different_Models,"[t_learner,s_learner]",0.252,0.0,"[0.014, 0.013]","[0.013, 0.013]",1. 3 <= 26000.0 |2. 0.013 <= 0.014 and 0.013 <= 0.013 |3. 0.0 < 0.01,3,0,"[[0.014, 0.013], [0.013, 0.013], [0.014, 0.013], [0.013, 0.013]]"
Twin,Different_Models,"[t_learner,s_learner]",0.258,0.0,"[0.016, 0.016]","[0.017, 0.017]",1. 4 <= 34000.0 |2. 0.017 <= 0.016 and 0.017 <= 0.016 |3. 0.0 < 0.01,2,2,"[[0.016, 0.016], [0.017, 0.016], [0.017, 0.017], [0.017, 0.017], [0.017, 0.017]]"
Twin,Different_Models,"[t_learner,s_learner]",0.277,0.0,"[0.019, 0.016]","[0.016, 0.016]",1. 3 <= 32000.0 |2. 0.016 <= 0.019 and 0.016 <= 0.016 |3. 0.0 < 0.01,2,1,"[[0.019, 0.016], [0.019, 0.016], [0.016, 0.016], [0.016, 0.016]]"
Twin,Different_Models,"[t_learner,s_learner]",0.316,0.019,"[0.02, 0.016]","[0.016, 0.016]",1. 3 <= 32000.0 |2. 0.016 <= 0.02 and 0.016 <= 0.016 |3. 0.019 < 0.01,1,2,"[[0.02, 0.016], [0.02, 0.016], [0.016, 0.016], [0.016, 0.016]]"
Twin,Different_Models,"[t_learner,s_learner]",0.271,0.019,"[0.015, 0.014]","[0.014, 0.015]",1. 2 <= 29000.0 |2. 0.014 <= 0.015 and 0.015 <= 0.014 |3. 0.019 < 0.01,1,1,"[[0.015, 0.014], [0.014, 0.014], [0.014, 0.015]]"
Twin,Different_Models,"[t_learner,s_learner]",0.284,0.006,"[0.019, 0.014]","[0.015, 0.014]",1. 5 <= 29000.0 |2. 0.015 <= 0.019 and 0.014 <= 0.014 |3. 0.006 < 0.01,3,2,"[[0.019, 0.014], [0.015, 0.014], [0.015, 0.014], [0.015, 0.014], [0.015, 0.015], [0.015, 0.014]]"
Twin,Different_Models,"[t_learner,s_learner]",0.277,0.0,"[0.016, 0.015]","[0.015, 0.015]",1. 3 <= 30000.0 |2. 0.015 <= 0.016 and 0.015 <= 0.015 |3. 0.0 < 0.01,3,0,"[[0.016, 0.015], [0.015, 0.015], [0.015, 0.015], [0.015, 0.015]]"
Twin,Different_Models,"[t_learner,s_learner]",0.2,0.006,"[0.022, 0.019]","[0.019, 0.019]",1. 3 <= 38000.0 |2. 0.019 <= 0.022 and 0.019 <= 0.019 |3. 0.006 < 0.01,2,1,"[[0.022, 0.019], [0.019, 0.019], [0.019, 0.019], [0.019, 0.019]]"
Twin,Different_Models,"[t_learner,s_learner]",0.316,0.0,"[0.019, 0.015]","[0.016, 0.016]",1. 3 <= 32000.0 |2. 0.016 <= 0.019 and 0.016 <= 0.015 |3. 0.0 < 0.01,2,1,"[[0.019, 0.015], [0.016, 0.015], [0.016, 0.015], [0.016, 0.016]]"
Twin,Different_Models,"[t_learner,s_learner]",0.258,0.0,"[0.016, 0.015]","[0.015, 0.015]",1. 2 <= 30000.0 |2. 0.015 <= 0.016 and 0.015 <= 0.015 |3. 0.0 < 0.01,2,0,"[[0.016, 0.015], [0.015, 0.015], [0.015, 0.015]]"
Twin,Different_Models,"[t_learner,s_learner]",0.271,0.0,"[0.018, 0.015]","[0.015, 0.015]",1. 3 <= 30000.0 |2. 0.015 <= 0.018 and 0.015 <= 0.015 |3. 0.0 < 0.01,3,0,"[[0.018, 0.015], [0.015, 0.015], [0.015, 0.015], [0.015, 0.015]]"
Twin,Different_Models,"[t_learner,s_learner]",0.252,0.0,"[0.02, 0.017]","[0.018, 0.017]",1. 2 <= 35000.0 |2. 0.018 <= 0.02 and 0.017 <= 0.017 |3. 0.0 < 0.01,1,1,"[[0.02, 0.017], [0.018, 0.017], [0.018, 0.017]]"
Twin,Different_Models,"[t_learner,s_learner]",0.187,0.006,"[0.014, 0.014]","[0.014, 0.014]",1. 4 <= 28000.0 |2. 0.014 <= 0.014 and 0.014 <= 0.014 |3. 0.006 < 0.01,2,2,"[[0.014, 0.014], [0.014, 0.014], [0.014, 0.014], [0.014, 0.014], [0.014, 0.014]]"
Twin,Different_Models,"[t_learner,s_learner]",0.2,0.006,"[0.013, 0.011]","[0.012, 0.012]",1. 3 <= 24000.0 |2. 0.012 <= 0.013 and 0.012 <= 0.011 |3. 0.006 < 0.01,2,1,"[[0.013, 0.011], [0.012, 0.011], [0.012, 0.012], [0.012, 0.012]]"
Twin,Different_Models,"[t_learner,s_learner]",0.226,0.0,"[0.016, 0.013]","[0.014, 0.013]",1. 3 <= 27000.0 |2. 0.014 <= 0.016 and 0.013 <= 0.013 |3. 0.0 < 0.01,3,0,"[[0.016, 0.013], [0.014, 0.013], [0.014, 0.013], [0.014, 0.013]]"
Twin,Different_Models,"[t_learner,s_learner]",0.303,0.006,"[0.015, 0.012]","[0.012, 0.012]",1. 3 <= 24000.0 |2. 0.012 <= 0.015 and 0.012 <= 0.012 |3. 0.006 < 0.01,2,1,"[[0.015, 0.012], [0.012, 0.012], [0.012, 0.012], [0.012, 0.012]]"
Twin,Different_Models,"[t_learner,s_learner]",0.284,0.0,"[0.014, 0.012]","[0.013, 0.013]",1. 4 <= 26000.0 |2. 0.013 <= 0.014 and 0.013 <= 0.012 |3. 0.0 < 0.01,2,2,"[[0.014, 0.012], [0.013, 0.012], [0.013, 0.012], [0.013, 0.013], [0.013, 0.013]]"
Twin,Different_Models,"[t_learner,s_learner]",0.284,0.013,"[0.016, 0.014]","[0.014, 0.014]",1. 2 <= 28000.0 |2. 0.014 <= 0.016 and 0.014 <= 0.014 |3. 0.013 < 0.01,2,0,"[[0.016, 0.014], [0.014, 0.014], [0.014, 0.014]]"
Twin,Different_Models,"[t_learner,s_learner]",0.316,0.0,"[0.014, 0.012]","[0.012, 0.012]",1. 3 <= 24000.0 |2. 0.012 <= 0.014 and 0.012 <= 0.012 |3. 0.0 < 0.01,3,0,"[[0.014, 0.012], [0.012, 0.012], [0.012, 0.012], [0.012, 0.012]]"
Twin,Different_Models,"[t_learner,s_learner]",0.232,0.006,"[0.015, 0.012]","[0.013, 0.013]",1. 3 <= 26000.0 |2. 0.013 <= 0.015 and 0.013 <= 0.012 |3. 0.006 < 0.01,2,1,"[[0.015, 0.012], [0.014, 0.012], [0.014, 0.013], [0.013, 0.013]]"
Twin,Different_Models,"[t_learner,uplift_tree]",0.961,0.0,"[0.02, 0.041]","[0.016, 0.016]",1. 4 <= 32000.0 |2. 0.016 <= 0.02 and 0.016 <= 0.041 |3. 0.0 < 0.01,1,3,"[[0.02, 0.041], [0.02, 0.018], [0.02, 0.017], [0.016, 0.017], [0.016, 0.016]]"
Twin,Different_Models,"[t_learner,uplift_tree]",0.626,0.0,"[0.014, 0.093]","[0.011, 0.011]",1. 7 <= 22000.0 |2. 0.011 <= 0.014 and 0.011 <= 0.093 |3. 0.0 < 0.01,2,5,"[[0.014, 0.093], [0.014, 0.046], [0.014, 0.018], [0.014, 0.013], [0.014, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011]]"
Twin,Different_Models,"[t_learner,uplift_tree]",0.684,0.0,"[0.017, 0.085]","[0.015, 0.016]",1. 9 <= 31000.0 |2. 0.015 <= 0.017 and 0.016 <= 0.085 |3. 0.0 < 0.01,1,8,"[[0.017, 0.085], [0.017, 0.045], [0.017, 0.024], [0.017, 0.016], [0.017, 0.014], [0.017, 0.016], [0.017, 0.015], [0.015, 0.015], [0.015, 0.016], [0.015, 0.016]]"
Twin,Different_Models,"[t_learner,uplift_tree]",0.974,0.0,"[0.015, 0.038]","[0.014, 0.014]",1. 5 <= 28000.0 |2. 0.014 <= 0.015 and 0.014 <= 0.038 |3. 0.0 < 0.01,3,2,"[[0.015, 0.038], [0.015, 0.016], [0.014, 0.016], [0.014, 0.014], [0.014, 0.014], [0.014, 0.014]]"
Twin,Different_Models,"[t_learner,uplift_tree]",0.968,0.0,"[0.021, 0.045]","[0.021, 0.02]",1. 6 <= 41000.0 |2. 0.021 <= 0.021 and 0.02 <= 0.045 |3. 0.0 < 0.01,4,2,"[[0.021, 0.045], [0.021, 0.02], [0.02, 0.02], [0.021, 0.02], [0.02, 0.02], [0.021, 0.02], [0.021, 0.02]]"
Twin,Different_Models,"[t_learner,uplift_tree]",0.613,0.0,"[0.015, 0.115]","[0.013, 0.013]",1. 10 <= 26000.0 |2. 0.013 <= 0.015 and 0.013 <= 0.115 |3. 0.0 < 0.01,2,8,"[[0.015, 0.115], [0.015, 0.054], [0.015, 0.027], [0.015, 0.015], [0.015, 0.012], [0.015, 0.013], [0.015, 0.013], [0.015, 0.013], [0.015, 0.013], [0.013, 0.013], [0.013, 0.013]]"
Twin,Different_Models,"[t_learner,uplift_tree]",0.561,0.0,"[0.015, 0.083]","[0.014, 0.014]",1. 5 <= 28000.0 |2. 0.014 <= 0.015 and 0.014 <= 0.083 |3. 0.0 < 0.01,2,3,"[[0.015, 0.083], [0.015, 0.038], [0.015, 0.017], [0.013, 0.017], [0.013, 0.014], [0.014, 0.014]]"
Twin,Different_Models,"[t_learner,uplift_tree]",0.716,0.0,"[0.015, 0.078]","[0.014, 0.014]",1. 9 <= 28000.0 |2. 0.014 <= 0.015 and 0.014 <= 0.078 |3. 0.0 < 0.01,2,7,"[[0.015, 0.078], [0.015, 0.041], [0.015, 0.022], [0.015, 0.016], [0.015, 0.014], [0.015, 0.015], [0.015, 0.014], [0.015, 0.014], [0.014, 0.014], [0.014, 0.014]]"
