Data,Method,MSE
German_Data,original,"[[0.14563203125000002, 0.16146666666666668], [0.21189582686676292, 0.2253059550533065]]"
German_Data,Reconciled,"[[0.14563203125000002, 0.16146666666666668], [0.14603956532959542, 0.16525846716578244]]"
Adult_Data,original,"[[0.14225243634204168, 0.0756660673654159], [0.22974039347010417, 0.32784326578944306]]"
Adult_Data,Reconciled,"[[0.13445985005246436, 0.07423823536304974], [0.13376662950579113, 0.09338334389883096]]"
Folk_Income_Data,original,"[[0.143161031627153, 0.10376107829985484], [0.274925249320468, 0.3345759915890407]]"
Folk_Income_Data,Reconciled,"[[0.143161031627153, 0.10376107829985484], [0.1464129576438209, 0.11881276442331648]]"
Folk_Travel_Data,original,"[[0.20530237392771558, 0.21665203089743593], [0.274135865493753, 0.34235325681063117]]"
Folk_Travel_Data,Reconciled,"[[0.20530237392771558, 0.21665203089743593], [0.20681172699035288, 0.2514479545885666]]"
Folk_Mobility_Data,original,"[[0.17800781715297154, 0.15360327266535756], [0.21323629666113664, 0.3326738503420703]]"
Folk_Mobility_Data,Reconciled,"[[0.17800781715297154, 0.15360327266535756], [0.1765809074610804, 0.18046104918538913]]"
Compas_Data,original,"[[0.225822214080165, 0.2424692719985443], [0.3003791052006077, 0.3216758791375996]]"
Compas_Data,Reconciled,"[[0.225822214080165, 0.2424692719985443], [0.21831058842987178, 0.24085493574577826]]"
German_Data,original,"[[0.13145, 0.18350833333333333], [0.21297191690645537, 0.268402276563589]]"
German_Data,Reconciled,"[[0.13145, 0.18350833333333333], [0.13358271481805284, 0.2104468402816871]]"
Adult_Data,original,"[[0.13228153956989733, 0.06476801469888868], [0.22237189448905903, 0.3136557371394222]]"
Adult_Data,Reconciled,"[[0.12512161356027204, 0.061782027437742186], [0.12573152284495795, 0.07869245367076343]]"
Folk_Income_Data,original,"[[0.14282083911907173, 0.10739568297368764], [0.281592241168436, 0.31916090418641135]]"
Folk_Income_Data,Reconciled,"[[0.14282083911907173, 0.10739568297368764], [0.14659225940805895, 0.11722371516546602]]"
Folk_Travel_Data,original,"[[0.20605307601005649, 0.21870576073232323], [0.27802631262400945, 0.3403440539083265]]"
Folk_Travel_Data,Reconciled,"[[0.20605307601005649, 0.21870576073232323], [0.2086050442987799, 0.2478220227778309]]"
Folk_Mobility_Data,original,"[[0.17633253555534104, 0.15955880100836684], [0.21574541952249063, 0.3468558894250899]]"
Folk_Mobility_Data,Reconciled,"[[0.17633253555534104, 0.15955880100836684], [0.17244320970670735, 0.18936564033458905]]"
Compas_Data,original,"[[0.22280523246012443, 0.21187275880010698], [0.32870580919095005, 0.316286285664375]]"
Compas_Data,Reconciled,"[[0.22280523246012443, 0.21187275880010698], [0.2160206925657286, 0.2270259908823816]]"
German_Data,original,"[[0.19203941605839417, 0.17070793650793653], [0.2609711950817969, 0.3627832501181861]]"
German_Data,Reconciled,"[[0.19203941605839417, 0.17070793650793653], [0.19119640194713855, 0.20060005320869548]]"
Adult_Data,original,"[[0.1334162457951302, 0.09673469190531518], [0.22831092199573602, 0.3226945496355719]]"
Adult_Data,Reconciled,"[[0.12814931720107312, 0.0942307664196098], [0.13033518591304433, 0.10812266572126114]]"
Folk_Income_Data,original,"[[0.14233357286266912, 0.11189585060018836], [0.28101961066421194, 0.3219011161377498]]"
Folk_Income_Data,Reconciled,"[[0.14233357286266912, 0.11189585060018836], [0.14675724848969798, 0.15692345554169243]]"
Folk_Travel_Data,original,"[[0.20500181484377142, 0.2147611409068747], [0.27503590189484883, 0.3449126190834525]]"
Folk_Travel_Data,Reconciled,"[[0.20500181484377142, 0.2147611409068747], [0.20768328604427902, 0.25048915513338155]]"
Folk_Mobility_Data,original,"[[0.1781266900553562, 0.15816949975123343], [0.21213372198559569, 0.3574473889345802]]"
Folk_Mobility_Data,Reconciled,"[[0.1781266900553562, 0.15816949975123343], [0.17361607174352375, 0.18113261515555432]]"
Compas_Data,original,"[[0.22661854130208628, 0.21614477012172506], [0.29874824478821566, 0.32356015412612343]]"
Compas_Data,Reconciled,"[[0.22661854130208628, 0.21614477012172506], [0.2185079742582068, 0.22296235282598978]]"
German_Data,original,"[[0.1538312925170068, 0.13944528301886794], [0.2301866727350949, 0.37947226022149483]]"
German_Data,Reconciled,"[[0.1538312925170068, 0.1357108315863033], [0.1446996762015953, 0.1723885368345522]]"
Adult_Data,original,"[[0.13697510649753963, 0.07448834554897747], [0.23345576753536632, 0.32770627397839697]]"
Adult_Data,Reconciled,"[[0.1304876446973865, 0.07683244849135924], [0.13172592058494853, 0.09681742210396338]]"
Folk_Income_Data,original,"[[0.14095694870207823, 0.11539637389687807], [0.2802474683055572, 0.337921417383488]]"
Folk_Income_Data,Reconciled,"[[0.14095694870207823, 0.11539637389687807], [0.1451663553525436, 0.16231437274476765]]"
Folk_Travel_Data,original,"[[0.20557721320152966, 0.21936238844527947], [0.27414594311883383, 0.3416081730863098]]"
Folk_Travel_Data,Reconciled,"[[0.20557721320152966, 0.21936238844527947], [0.20707640162405724, 0.2528097446748015]]"
Folk_Mobility_Data,original,"[[0.1723463670304259, 0.16029537356187518], [0.20487604621581496, 0.3268896137499387]]"
Folk_Mobility_Data,Reconciled,"[[0.1723463670304259, 0.16029537356187518], [0.16866844782970872, 0.18800106810346745]]"
Compas_Data,original,"[[0.2277534738636142, 0.2144480481562804], [0.29973913806937946, 0.3341624216701729]]"
Compas_Data,Reconciled,"[[0.2277534738636142, 0.2144480481562804], [0.2190559282815605, 0.2218811617817798]]"
German_Data,original,"[[0.20924344827586205, 0.15062545454545456], [0.27086419985935395, 0.2851068055029081]]"
German_Data,Reconciled,"[[0.20924344827586205, 0.15062545454545456], [0.20989969908046954, 0.17916767974866007]]"
Adult_Data,original,"[[0.13082642278725506, 0.07716866667122702], [0.22656836858580065, 0.3302046060212917]]"
Adult_Data,Reconciled,"[[0.12556271553006795, 0.07855988952836986], [0.12633577094672307, 0.10046728770850288]]"
Folk_Income_Data,original,"[[0.14102971495054903, 0.10756442178148923], [0.2795303167377294, 0.32931600831874824]]"
Folk_Income_Data,Reconciled,"[[0.14102971495054903, 0.10756442178148923], [0.1451541970006117, 0.1503341843275443]]"
Folk_Travel_Data,original,"[[0.20753190003105107, 0.21721238419703923], [0.2735648812536847, 0.3298812863258869]]"
Folk_Travel_Data,Reconciled,"[[0.20753190003105107, 0.21721238419703923], [0.2090295185331973, 0.24278265269425073]]"
Folk_Mobility_Data,original,"[[0.175646689332717, 0.15779647876456177], [0.21095702932995702, 0.3309431292757841]]"
Folk_Mobility_Data,Reconciled,"[[0.175646689332717, 0.15779647876456177], [0.17230025036315505, 0.18622456209439142]]"
Compas_Data,original,"[[0.25078161918432834, 0.2340067911145379], [0.30565243377782114, 0.30033833318379594]]"
Compas_Data,Reconciled,"[[0.25078161918432834, 0.2340067911145379], [0.24175758120100063, 0.23030054643412684]]"
German_Data,original,"[[0.14975106382978726, 0.16643559322033896], [0.22713982502281552, 0.3648762760147825]]"
German_Data,Reconciled,"[[0.14975106382978726, 0.16643559322033896], [0.14939765562904597, 0.19145617990081157]]"
Adult_Data,original,"[[0.13683544807569714, 0.07459174051545242], [0.22598764305698063, 0.34556883218767764]]"
Adult_Data,Reconciled,"[[0.13109710025358473, 0.078859380862326], [0.1322441213983756, 0.09875331860971809]]"
Folk_Income_Data,original,"[[0.14388547619807185, 0.1103181362189243], [0.27578021073735837, 0.33684097874757585]]"
Folk_Income_Data,Reconciled,"[[0.14388547619807185, 0.1103181362189243], [0.14883041735970756, 0.1534071581727453]]"
Folk_Travel_Data,original,"[[0.20551863693729272, 0.2197122563718141], [0.2767978025949471, 0.3378104107747907]]"
Folk_Travel_Data,Reconciled,"[[0.20551863693729272, 0.2197122563718141], [0.20819893643344925, 0.24721965018113298]]"
Folk_Mobility_Data,original,"[[0.1745945278381692, 0.1523273073680988], [0.208694780723849, 0.33875013001208865]]"
Folk_Mobility_Data,Reconciled,"[[0.1745945278381692, 0.1523273073680988], [0.17126442395449828, 0.18184647335962728]]"
Compas_Data,original,"[[0.23218987680392358, 0.24092676140141284], [0.3136802268863462, 0.3388045710932995]]"
Compas_Data,Reconciled,"[[0.23218987680392358, 0.24092676140141284], [0.22609600001814342, 0.24090990202128568]]"
German_Data,original,"[[0.17257676056338025, 0.17773275862068968], [0.25516237945336195, 0.3794729434060591]]"
German_Data,Reconciled,"[[0.17257676056338025, 0.17773275862068968], [0.178589029902961, 0.2041799755426727]]"
Adult_Data,original,"[[0.13686558100395327, 0.08526939701084754], [0.22050293459503012, 0.3366082223895642]]"
Adult_Data,Reconciled,"[[0.12922538842464407, 0.08505529290557813], [0.1298801272438723, 0.10496904741989355]]"
Folk_Income_Data,original,"[[0.14331428044839348, 0.10462223066484123], [0.2777917788400287, 0.33745433398507657]]"
Folk_Income_Data,Reconciled,"[[0.14331428044839348, 0.10462223066484123], [0.1471340140136864, 0.1503360219370771]]"
Folk_Travel_Data,original,"[[0.20724898902726416, 0.21099351896367521], [0.275338266676397, 0.32945837692452906]]"
Folk_Travel_Data,Reconciled,"[[0.20724898902726416, 0.21099351896367521], [0.208344155167087, 0.24350288191209635]]"
Folk_Mobility_Data,original,"[[0.17251317720074547, 0.15465912505115445], [0.20892867119196298, 0.3299945385267703]]"
Folk_Mobility_Data,Reconciled,"[[0.17251317720074547, 0.15465912505115445], [0.16890237104024527, 0.18195809776488076]]"
Compas_Data,original,"[[0.21864225199043993, 0.2218635767603274], [0.30592469131866196, 0.3320929798661045]]"
Compas_Data,Reconciled,"[[0.21864225199043993, 0.2218635767603274], [0.2118631839718365, 0.22570862013804513]]"
German_Data,original,"[[0.1748044117647059, 0.17081718749999997], [0.22987880191510957, 0.25396400001457076]]"
German_Data,Reconciled,"[[0.1748044117647059, 0.17081718749999997], [0.1688737495920549, 0.16958207482324084]]"
Adult_Data,original,"[[0.1365514961166114, 0.07632073734170003], [0.22431049434150205, 0.35070083161561355]]"
Adult_Data,Reconciled,"[[0.12916713954192652, 0.0766933762969477], [0.131180908638715, 0.09984649972273425]]"
Folk_Income_Data,original,"[[0.14115196734761043, 0.11089259319790454], [0.2766038014750736, 0.3419907680570478]]"
Folk_Income_Data,Reconciled,"[[0.14115196734761043, 0.11089259319790454], [0.1452873862055045, 0.15351966869083886]]"
Folk_Travel_Data,original,"[[0.2051596195809687, 0.21602714939024392], [0.2760220276095824, 0.33304499270981813]]"
Folk_Travel_Data,Reconciled,"[[0.2051596195809687, 0.21602714939024392], [0.2073402628873447, 0.24444259291819107]]"
Folk_Mobility_Data,original,"[[0.17524970887645933, 0.1570556792252667], [0.21124241007452682, 0.333642498378646]]"
Folk_Mobility_Data,Reconciled,"[[0.17524970887645933, 0.1570556792252667], [0.17082711736007275, 0.17708885372656852]]"
Compas_Data,original,"[[0.23799771850951404, 0.21584976674825984], [0.29933014926363977, 0.32689952807925954]]"
Compas_Data,Reconciled,"[[0.23799771850951404, 0.21584976674825984], [0.2303180122751029, 0.22055133053146508]]"
German_Data,original,"[[0.18129770992366412, 0.17653913043478256], [0.22997837464812515, 0.3253188684592341]]"
German_Data,Reconciled,"[[0.18129770992366412, 0.17653913043478256], [0.17778041846453843, 0.19579013128097814]]"
Adult_Data,original,"[[0.13631373237996075, 0.08241262667581681], [0.23003599379259057, 0.34307869708560473]]"
Adult_Data,Reconciled,"[[0.13034848648941155, 0.08336687161538285], [0.13120358674711122, 0.09818424001656306]]"
Folk_Income_Data,original,"[[0.14111722533439183, 0.10419945537812306], [0.2766134442114015, 0.3277929965553359]]"
Folk_Income_Data,Reconciled,"[[0.14111722533439183, 0.10419945537812306], [0.14553794182865654, 0.15009237461370484]]"
Folk_Travel_Data,original,"[[0.20704349446010492, 0.21747363465160072], [0.27579510866536877, 0.3442727301562796]]"
Folk_Travel_Data,Reconciled,"[[0.20704349446010492, 0.21747363465160072], [0.20928236177304968, 0.2505365271287969]]"
Folk_Mobility_Data,original,"[[0.17336901417965997, 0.1527510922269915], [0.20827860790350802, 0.32474309471949614]]"
Folk_Mobility_Data,Reconciled,"[[0.17336901417965997, 0.1527510922269915], [0.1705884059500499, 0.1835954635149857]]"
Compas_Data,original,"[[0.22704419708267098, 0.23141373314016916], [0.32612419793274944, 0.3637243632369279]]"
Compas_Data,Reconciled,"[[0.22704419708267098, 0.23141373314016916], [0.21989013285786052, 0.24564881199470615]]"
German_Data,original,"[[0.15301060606060607, 0.17102058823529412], [0.23332574212777676, 0.32000187470783575]]"
German_Data,Reconciled,"[[0.15301060606060607, 0.17745777051561365], [0.15088835964769381, 0.19339958355765285]]"
Adult_Data,original,"[[0.13187833370893262, 0.07359057842929508], [0.22670417696943232, 0.3175205341684635]]"
Adult_Data,Reconciled,"[[0.12651106493392797, 0.07196995201509954], [0.12828727617058647, 0.09185891329927347]]"
Folk_Income_Data,original,"[[0.14316645653438761, 0.10974197026888159], [0.28149998392156866, 0.335934802638083]]"
Folk_Income_Data,Reconciled,"[[0.14316645653438761, 0.10974197026888159], [0.14719520064444724, 0.15365813275626325]]"
Folk_Travel_Data,original,"[[0.20762715929105885, 0.21562304981463035], [0.2777016685593628, 0.32901802337215297]]"
Folk_Travel_Data,Reconciled,"[[0.20762715929105885, 0.21562304981463035], [0.2087114327308967, 0.241344087451516]]"
Folk_Mobility_Data,original,"[[0.17519240132134684, 0.16128345713030928], [0.20839903605666557, 0.3472260477515585]]"
Folk_Mobility_Data,Reconciled,"[[0.17519240132134684, 0.16128345713030928], [0.17209632829089155, 0.19230073189426608]]"
Compas_Data,original,"[[0.2235890375293721, 0.20798524972465546], [0.29286940594733546, 0.3615586273821402]]"
Compas_Data,Reconciled,"[[0.2235890375293721, 0.20798524972465546], [0.21734892067436817, 0.22252136305433762]]"
